为 (U+4E3A) traditionalVariant: ['為', '爲']
么 (U+4E48) traditionalVariant: ['幺', '麼', '麽']
产 (U+4EA7) traditionalVariant: ['產', '産']
众 (U+4F17) traditionalVariant: ['眾', '衆']
伪 (U+4F2A) traditionalVariant: ['偽', '僞']
冲 (U+51B2) traditionalVariant: ['沖', '衝']
凫 (U+51EB) traditionalVariant: ['鳧', '鳬']
别 (U+522B) traditionalVariant: ['別', '彆']
卤 (U+5364) traditionalVariant: ['滷', '鹵']
历 (U+5386) traditionalVariant: ['曆', '歷']
厕 (U+5395) traditionalVariant: ['厠', '廁']
发 (U+53D1) traditionalVariant: ['發', '髮']
只 (U+53EA) traditionalVariant: ['戠', '衹', '隻']
台 (U+53F0) traditionalVariant: ['檯', '臺', '颱']
向 (U+5411) traditionalVariant: ['嚮', '曏']
启 (U+542F) traditionalVariant: ['啓', '啟']
噁 (U+5641) simplifiedVariant: ['恶', '𫫇']
噹 (U+5679) simplifiedVariant: ['当', '𪠽']
团 (U+56E2) traditionalVariant: ['團', '糰']
坛 (U+575B) traditionalVariant: ['壇', '罈', '罎']
坝 (U+575D) traditionalVariant: ['垻', '壩']
墙 (U+5899) traditionalVariant: ['墻', '牆']
壳 (U+58F3) traditionalVariant: ['殻', '殼']
复 (U+590D) traditionalVariant: ['復', '複', '覆']
奖 (U+5956) traditionalVariant: ['奬', '獎']
妫 (U+59AB) traditionalVariant: ['媯', '嬀']
尽 (U+5C3D) traditionalVariant: ['儘', '盡']
干 (U+5E72) traditionalVariant: ['乾', '幹']
并 (U+5E76) traditionalVariant: ['並', '併']
弥 (U+5F25) traditionalVariant: ['彌', '瀰']
当 (U+5F53) traditionalVariant: ['噹', '當']
录 (U+5F55) traditionalVariant: ['錄', '録']
恶 (U+6076) traditionalVariant: ['噁', '惡']
悫 (U+60AB) traditionalVariant: ['愨', '慤']
戰 (U+6230) simplifiedVariant: ['战', '𢧐']
摆 (U+6446) traditionalVariant: ['擺', '襬']
汇 (U+6C47) traditionalVariant: ['匯', '彙']
沩 (U+6CA9) traditionalVariant: ['溈', '潙']
滷 (U+6EF7) simplifiedVariant: ['卤', '𰛮']
瀋 (U+700B) simplifiedVariant: ['沈', '渖']
瀰 (U+7030) simplifiedVariant: ['㳽', '弥']
瘘 (U+7618) traditionalVariant: ['瘺', '瘻']
硷 (U+7877) traditionalVariant: ['礆', '鹼']
竖 (U+7AD6) traditionalVariant: ['竪', '豎']
签 (U+7B7E) traditionalVariant: ['簽', '籤']
糰 (U+7CF0) simplifiedVariant: ['团', '𰪶']
系 (U+7CFB) traditionalVariant: ['係', '繫']
線 (U+7DDA) simplifiedVariant: ['线', '缐']
緻 (U+7DFB) simplifiedVariant: ['致', '𰬫']
